team1,team2,toss_winner,toss_choice,man_of_the_match,stadium,place,team1_score,team2_score,winner,win_by_wickets,win_by_runs
Punjab,CSK,Punjab,Bat,Pawan Negi,Punjab Cricket Association Stadium,Mohali,130,134,CSK,7,0
RR,KKR,RR,Bat,Shane Watson,Brabourne Stadium,Mumbai,199,190,RR,0,9
SRH,MI,SRH,Bat,Mitchell McClenaghan,Rajiv Gandhi International Stadium,Uppal,113,114,MI,9,0
MI,CSK,MI,Bat,Kieron Pollard,Wankhede Stadium,Mumbai,187,162,MI,0,25
RCB,RR,RCB,Bat,AB de Villiers,Maharashtra Cricket Association Stadium,Pune,180,109,RCB,0,71
RCB,CSK,CSK,Field,Ashish Nehra,JSCA International Stadium Complex,Ranchi,139,140,CSK,3,0
MI,CSK,CSK,Field,Rohit Sharma,Eden Gardens,Kolkata,202,161,MI,0,41
KKR,MI,KKR,Bat,Jacques Kallis,Sheikh Zayed Stadium,Abu Dhabi,163,122,KKR,0,41
DC,RCB,RCB,Field,Yuzvendra Chahal,Sharjah Cricket Stadium,UAE,145,146,RCB,8,0
CSK,Punjab,CSK,Bat,Glenn Maxwell,Sheikh Zayed Stadium,Abu Dhabi,205,206,Punjab,6,0
SRH,RR,RR,Field,Ajinkya Rahane,Sheikh Zayed Stadium,Abu Dhabi,133,135,RR,4,0
MI,RCB,RCB,Field,Parthiv Patel,Dubai International Cricket Stadium,UAE,115,116,RCB,7,0
KKR,DC,KKR,Bat,Jean-Paul Duminy,Dubai International Cricket Stadium,UAE,166,167,DC,4,0
RR,Punjab,Punjab,Field,Glenn Maxwell,Sharjah Cricket Stadium,UAE,191,193,Punjab,7,0
CSK,DC,CSK,Bat,Suresh Raina,Sheikh Zayed Stadium,Abu Dhabi,177,84,CSK,0,93
Punjab,SRH,SRH,Field,Glenn Maxwell,Sharjah Cricket Stadium,UAE,193,121,Punjab,0,72
CSK,RR,RR,Field,Ravindra Jadeja,Dubai International Cricket Stadium,UAE,140,133,CSK,0,7
KKR,RCB,RCB,Field,Chris Lynn,Sharjah Cricket Stadium,UAE,150,148,KKR,0,2
SRH,DC,SRH,Bat,Aaron Finch,Dubai International Cricket Stadium,UAE,184,180,SRH,0,4
MI,CSK,MI,Bat,Mohit Sharma,Dubai International Cricket Stadium,UAE,141,142,CSK,7,0
RCB,RR,RR,Field,Pravin Tambe,Sheikh Zayed Stadium,Abu Dhabi,70,71,RR,6,0
Punjab,KKR,KKR,Field,Sandeep Sharma,Sheikh Zayed Stadium,Abu Dhabi,132,109,Punjab,0,23
MI,DC,MI,Bat,Murali Vijay,Sharjah Cricket Stadium,UAE,125,126,DC,6,0
SRH,CSK,SRH,Bat,Dwayne Smith,Sharjah Cricket Stadium,UAE,145,146,CSK,5,0
RCB,Punjab,Punjab,Field,Sandeep Sharma,Dubai International Cricket Stadium,UAE,124,127,Punjab,5,0
RR,KKR,RR,Bat,James Faulkner,Sheikh Zayed Stadium,Abu Dhabi,152,152,Tied,0,0
SRH,MI,MI,Field,Bhuvneshwar Kumar,Dubai International Cricket Stadium,UAE,172,157,SRH,0,15
CSK,KKR,CSK,Bat,Ravindra Jadeja,JSCA International Stadium Complex,Ranchi,148,114,CSK,0,34
Punjab,MI,Punjab,Bat,Corey Anderson,Wankhede Stadium,Mumbai,168,170,MI,5,0
DC,RR,RR,Field,Karun Nair,Feroz Shah Kotla,Delhi,152,156,RR,7,0
SRH,RCB,RCB,Field,AB de Villiers,M Chinnaswamy Stadium,Bangalore,155,158,RCB,4,0
RR,KKR,KKR,Field,Pravin Tambe,Sardar Patel Stadium,Motera,170,160,RR,0,10
DC,CSK,CSK,Field,Dwayne Smith,Feroz Shah Kotla,Delhi,178,181,CSK,8,0
MI,RCB,RCB,Field,Rohit Sharma,Wankhede Stadium,Mumbai,187,168,MI,0,19
DC,KKR,DC,Bat,Gautam Gambhir,Feroz Shah Kotla,Delhi,160,161,KKR,8,0
Punjab,CSK,CSK,Field,Glenn Maxwell,Barabati Stadium,Cuttack,231,187,Punjab,0,44
SRH,RR,RR,Field,Bhuvneshwar Kumar,Sardar Patel Stadium,Motera,134,102,SRH,0,32
Punjab,RCB,RCB,Field,Sandeep Sharma,M Chinnaswamy Stadium,Bangalore,198,166,Punjab,0,32
DC,SRH,SRH,Field,Dale Steyn,Feroz Shah Kotla,Delhi,143,44,SRH,8,0
MI,CSK,CSK,Field,Dwayne Smith,Wankhede Stadium,Mumbai,157,160,CSK,4,0
Punjab,KKR,KKR,Field,Gautam Gambhir,Barabati Stadium,Cuttack,149,150,KKR,9,0
RCB,RR,RCB,Bat,James Faulkner,M Chinnaswamy Stadium,Bangalore,190,191,RR,5,0
SRH,MI,SRH,Bat,Ambati Rayudu,Rajiv Gandhi International Stadium,Uppal,157,160,MI,7,0
RR,CSK,RR,Bat,Ravindra Jadeja,JSCA International Stadium Complex,Ranchi,148,149,CSK,5,0
RCB,DC,DC,Field,Yuvraj Singh,M Chinnaswamy Stadium,Bangalore,186,170,RCB,0,16
SRH,Punjab,Punjab,Field,Wriddhiman Saha,Rajiv Gandhi International Stadium,Uppal,205,211,Punjab,6,0
MI,KKR,KKR,Field,Robin Uthappa,Barabati Stadium,Cuttack,141,142,KKR,6,0
RR,DC,DC,Field,Ajinkya Rahane,Sardar Patel Stadium,Motera,201,139,RR,0,62
CSK,RCB,CSK,Bat,AB de Villiers,JSCA International Stadium Complex,Ranchi,138,142,RCB,5,0
SRH,KKR,SRH,Bat,Umesh Yadav,Rajiv Gandhi International Stadium,Uppal,142,146,KKR,7,0
MI,RR,MI,Bat,Michael Hussey,Sardar Patel Stadium,Motera,178,153,MI,0,25
DC,Punjab,Punjab,Field,Axar Patel,Feroz Shah Kotla,Delhi,164,165,Punjab,4,0
RCB,SRH,RCB,Bat,David Warner,Rajiv Gandhi International Stadium,Uppal,160,161,SRH,7,0
CSK,KKR,KKR,Field,Robin Uthappa,Eden Gardens,Kolkata,154,156,KKR,8,0
Punjab,MI,MI,Field,Lendl Simmons,Punjab Cricket Association Stadium,Mohali,156,159,MI,7,0
KKR,RCB,RCB,Field,Robin Uthappa,Eden Gardens,Kolkata,195,165,KKR,0,30
CSK,SRH,SRH,Field,David Warner,JSCA International Stadium Complex,Ranchi,185,189,SRH,6,0
MI,DC,DC,Field,Michael Hussey,Wankhede Stadium,Mumbai,173,158,MI,0,15
Punjab,RR,RR,Field,Shaun Marsh,Punjab Cricket Association Stadium,Mohali,179,163,Punjab,0,16
RCB,CSK,CSK,Field,MS Dhoni,M Chinnaswamy Stadium,Bangalore,154,160,CSK,8,0
SRH,KKR,KKR,Field,Yusuf Pathan,Eden Gardens,Kolkata,160,161,KKR,4,0
DC,Punjab,Punjab,Field,Manan Vohra,Punjab Cricket Association Stadium,Mohali,115,119,Punjab,7,0
RR,MI,MI,Field,Corey Anderson,Wankhede Stadium,Mumbai,189,195,MI,5,0
KKR,Punjab,Punjab,Field,Umesh Yadav,Eden Gardens,Kolkata,163,135,KKR,0,28
MI,CSK,CSK,Field,Suresh Raina,Brabourne Stadium,Mumbai,173,176,CSK,7,0
Punjab,CSK,CSK,Field,Virender Sehwag,Wankhede Stadium,Mumbai,226,202,Punjab,0,24
Punjab,KKR,KKR,Field,Manish Pandey,M Chinnaswamy Stadium,Bangalore,199,200,KKR,3,0
DC,KKR,KKR,Field,Sunil Narine,Eden Gardens,Kolkata,128,129,KKR,6,0
RCB,MI,MI,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,156,154,RCB,0,2
RR,DC,RR,Bat,Rahul Dravid,Feroz Shah Kotla,Delhi,165,160,RR,0,5
MI,CSK,MI,Bat,Kieron Pollard,MA Chidambaram Stadium,Chepauk,148,139,MI,0,9
RCB,SRH,RCB,Bat,Hanuma Vihari,Rajiv Gandhi International Stadium,Uppal,130,130,Tied,0,0
RR,KKR,KKR,Field,Siddharth Trivedi,Sawai Mansingh Stadium,Jaipur,144,125,RR,0,19
SRH,RCB,SRH,Bat,Virat Kohli,M Chinnaswamy Stadium,Bangalore,161,162,RCB,7,0
MI,DC,MI,Bat,Dinesh Karthik,Wankhede Stadium,Mumbai,209,165,MI,0,44
Punjab,CSK,CSK,Field,Michael Hussey,Punjab Cricket Association Stadium,Mohali,138,139,CSK,10,0
KKR,RCB,RCB,Field,Chris Gayle,M Chinnaswamy Stadium,Bangalore,154,158,RCB,8,0
DC,SRH,DC,Bat,Amit Mishra,Feroz Shah Kotla,Delhi,114,115,SRH,3,0
RCB,CSK,CSK,Field,Ravindra Jadeja,MA Chidambaram Stadium,Chepauk,165,166,CSK,4,0
KKR,SRH,KKR,Bat,Gautam Gambhir,Eden Gardens,Kolkata,180,132,KKR,0,48
Punjab,RR,RR,Field,James Faulkner,Sawai Mansingh Stadium,Jaipur,124,126,RR,6,0
Punjab,KKR,KKR,Field,Manpreet Gony,Punjab Cricket Association Stadium,Mohali,157,153,Punjab,0,4
DC,RCB,RCB,Field,Virat Kohli,M Chinnaswamy Stadium,Bangalore,152,152,Tied,0,0
RR,MI,RR,Bat,Ajinkya Rahane,Sawai Mansingh Stadium,Jaipur,179,92,RR,0,87
CSK,DC,CSK,Bat,Michael Hussey,Feroz Shah Kotla,Delhi,169,83,CSK,0,86
Punjab,SRH,Punjab,Bat,Hanuma Vihari,Rajiv Gandhi International Stadium,Uppal,123,127,SRH,5,0
